number,Diamine 1,Molar Ratio3,Diamine 2,Molar Ratio4
1,1,1,,
2,1,1,,
3,1,1,,
4,1,1,,
5,1,1,,
6,3,0.2,6,0.8
7,3,0.2,6,0.8
8,3,0.2,6,0.8
9,3,0.2,6,0.8
10,3,0.2,6,0.8
11,3,0.2,6,0.8
12,5,1,,
13,2,1,,
14,3,1,,
15,6,1,,
16,4,1,,
17,12,1,3,1
18,12,1,3,1
19,12,1,3,1
20,12,1,3,1
21,,,3,1
22,1,1,,
23,1,1,,
24,1,1,,
25,1,1,,
26,1,1,,
27,1,1,,
28,3,1,,
29,2,1,,
30,5,1,,
31,1,1,,
32,2,1,,
33,3,1,,
34,4,1,,
35,2,1,,
36,3,1,,
37,4,1,,
38,2,1,,
39,3,1,,
40,7,1,,
41,7,1,,
42,7,1,,
43,7,1,,
44,4,1,,
45,5,1,,
46,3,1,,
47,3,1,,
48,3,1,,
49,3,1,,
50,3,1,,
51,3,1,,
52,3,1,,
53,5,1,,
54,6,1,,
55,2,1,,
56,1,1,,
57,3,1,,
58,5,1,,
59,6,1,,
60,2,1,,
61,1,1,,
62,5,1,,
63,6,1,,
64,2,1,,
65,5,1,,
66,5,1,,
67,5,1,,
68,5,1,,
69,1,1,,
70,1,1,,
71,1,1,,
72,1,1,,
73,3,1,,
74,1,1,,
75,2,1,,
76,5,1,,
77,4,1,,
78,6,1,,
79,6,1,,
80,6,1,,
81,6,1.3,,
82,6,1.3,,
83,6,1.3,,
84,6,0.9,13,0.1
85,6,0.8,13,0.2
86,6,0.8,13,0.2
87,1,1,,
88,6,1,,
89,5,1,,
90,2,1,,
91,3,1,,
92,3,1,,
93,3,1,,
94,5,1,,
95,5,1,,
96,2,1,,
97,2,1,,
98,6,1,,
99,6,1,,
100,1,1,,
101,5,1,,
102,2,1,,
103,16,1,,
104,3,1,,
105,1,1,,
106,6,1,,
107,5,1,,
108,2,1,,
109,16,1,,
110,3,1,,
111,17,1,,
112,17,1,,
113,17,1,,
114,17,1,,
115,17,1,,
116,17,1,,
117,17,1,,
118,1,1,,
119,6,1,,
120,5,1,,
121,2,1,,
122,3,1,,
123,4,1,,
124,5,1,,
125,2,1,,
126,4,1,,
127,5,1,,
128,2,1,,
129,1,1,,
130,1,1,,
131,1,1,,
132,1,1,,
133,1,1,,
134,1,1,,
135,1,1,,
136,6,1,,
137,2,1,,
138,5,1,,
139,3,1,,
140,3,1,,
141,3,1,,
142,3,1,,
143,3,1,,
144,1,4,,
145,1,5,,
146,1,1,,
147,6,1,,
148,6,1,,
149,6,1,,
150,6,1,,
151,6,1,,
152,3,1,,
153,3,1,,
154,3,1,,
155,3,1,,
156,2,1,,
157,5,1,,
158,3,1,,
159,2,1,,
160,5,1,,
161,3,1,,
162,18,1,,
163,18,1,,
164,1,1,,
165,2,1,,
166,2,1,,
167,5,1,,
168,6,1,,
169,16,1,,
170,16,1,,
171,16,1,,
172,16,1,,
173,4,1,,
174,3,1,,
175,19,1,,
176,2,1,,
177,4,1,,
178,4,1,,
179,3,1,,
180,2,1,,
181,10,3,,
182,21,3,,
183,4,3,,
184,22,3,,
185,23,3,,
186,5,1,,
187,20,1,,
188,5,1,,
189,20,1,,
190,5,1,,
191,20,1,,
192,24,1,,
193,24,1,,
194,24,1,,
195,24,1,,
196,24,1,,
197,24,1,,
198,24,1,,
199,1,1,,
200,6,1,,
201,2,1,,
202,5,1,,
203,3,1,,
204,3,1,,
205,26,1,,
206,26,1,,
207,26,1,,
208,26,1,,
209,1,1,,
210,6,1,,
211,5,1,,
212,3,1,,
213,2,1,,
214,5,1,,
215,4,1,,
216,1,1,,
217,5,1,,
218,2,1,,
219,3,1,,
220,6,1,,
221,1,1,,
222,5,1,,
223,2,1,,
224,3,1,,
225,6,1,,
226,1,1,,
227,6,1,,
228,5,1,,
229,1,1,,
230,6,1,,
231,3,1,,
232,3,1,,
233,3,1,,
234,3,1,,
235,3,1,,
236,3,1,,
237,3,1,,
238,3,1,,
239,3,1,,
240,3,1,,
241,3,1,,
242,3,1,,
243,3,1,,
244,5,1,,
245,7,1,,
246,5,1,,
247,7,1,,
248,5,1,,
249,7,1,,
250,1,1,,
251,6,1,,
252,5,1,,
253,2,1,,
254,3,1,,
255,10,0.96,11,0.08
256,10,0.96,11,0.08
257,10,0.96,11,0.08
258,10,0.96,11,0.08
259,2,1,,
260,2,1,,
261,2,1,,
262,5,1,,
263,5,1,,
264,5,1,,
265,5,1,,
266,5,1,,
267,5,1,,
268,3,1,,
269,3,1,,
270,6,1,,
271,6,1,,
272,2,1,,
273,2,1,,
