Features_20,Features_19,Features_18,Features_17,Features_16,Features_15,Features_14,Features_13,Features_12,Features_11,Features_10,Features_9,Features_8,Features_7,Features_6,Features_5
copolymer,copolymer,copolymer,copolymer,Maximum Imidization Temperature,Maximum Imidization Temperature,Maximum Imidization Temperature,Maximum Imidization Temperature,Maximum Imidization Temperature,Maximum Imidization Temperature,Maximum Imidization Temperature,Maximum Imidization Temperature,Maximum Imidization Temperature,Maximum Imidization Temperature,Maximum Imidization Temperature,Maximum Imidization Temperature
Maximum Imidization Temperature,Maximum Imidization Temperature,Maximum Imidization Temperature,Maximum Imidization Temperature,Total Imidization Time,Total Imidization Time,Total Imidization Time,Total Imidization Time,Total Imidization Time,Total Imidization Time,Total Imidization Time,Total Imidization Time,Total Imidization Time,Total Imidization Time,Total Imidization Time,Total Imidization Time
Total Imidization Time,Total Imidization Time,Total Imidization Time,Total Imidization Time,Thickness-middle,Thickness-middle,Thickness-middle,Thickness-middle,Thickness-middle,Thickness-middle,Thickness-middle,Thickness-middle,Thickness-middle,Thickness-middle,Thickness-middle,Thickness-middle
Thickness-middle,Thickness-middle,Thickness-middle,Thickness-middle,a27979804,a27979804,a27979804,a27979804,a27979804,a27979804,a27979804,a27979804,a2041434490,a1543552144,a1543552144,a1543552144
a27979804,a27979804,a27979804,a27979804,a2245384272,a2245384272,a269959362,a269959362,a471486690,a2041434490,a2041434490,a2041434490,a1543552144,a3217380708,a2295371384,a2295371384
a2245384272,a2245384272,a2245384272,a2245384272,a269959362,a269959362,a471486690,a471486690,a2041434490,a4256002933,a1543552144,a1543552144,a3217380708,a2295371384,g3974328374,
a422735999,a269959362,a269959362,a269959362,a471486690,a471486690,a3162837314,a2041434490,a4256002933,a1543552144,a2295371384,a2295371384,a2295371384,g3974328374,,
a269959362,a471486690,a471486690,a471486690,a3162837314,a2041434490,a2041434490,a4256002933,a1543552144,a3217380708,a951226070,a951226070,g3974328374,,,
a471486690,a2041434490,a2041434490,a2041434490,a2041434490,a994485099,a4256002933,a1543552144,a3217380708,a2295371384,g3974328374,g3974328374,,,,
a2041434490,a994485099,a720822897,a4256002933,a4256002933,a4256002933,a1543552144,a3217380708,a2295371384,g3974328374,g3933537673,,,,,
a994485099,a4256002933,a4256002933,a1543552144,a1543552144,a1543552144,a3217380708,a2295371384,g3974328374,g3933537673,,,,,,
a4256002933,a1543552144,a1543552144,a2929966416,a2929966416,a3217380708,a2295371384,g3974328374,g68675643,,,,,,,
a1543552144,a2929966416,a2929966416,a3217380708,a3217380708,a2295371384,g3974328374,g68675643,,,,,,,,
a2929966416,a3217380708,a3217380708,a2295371384,a2295371384,g3974328374,g68675643,,,,,,,,,
a3217380708,a2295371384,a2295371384,a951226070,g3974328374,g68675643,,,,,,,,,,
a2295371384,a951226070,a951226070,g3974328374,g68675643,,,,,,,,,,,
a951226070,g3974328374,g3974328374,g68675643,,,,,,,,,,,,
g3974328374,g68675643,g68675643,,,,,,,,,,,,,
g68675643,g3933537673,,,,,,,,,,,,,,
g3933537673,,,,,,,,,,,,,,,
