n_features,Test_RMSE,Test_R2,CV_RMSE,CV_R2
20,28.35408095263981,0.5599543059692613,25.099918936757966,0.710431281823616
19,29.228089142699343,0.5324075693846986,25.80085012100451,0.7072280965563084
18,28.67187237401348,0.5500349985647834,25.2256722306105,0.7091842254508632
17,28.640041321205373,0.5510335318332906,25.926083234606267,0.7068199359068321
16,29.421409643869865,0.5262016112272826,24.54935935573692,0.7200074664012799
15,30.039494527065745,0.5060853967879829,24.912794061535138,0.7278268393836225
14,29.106228388254866,0.536298510063093,24.08762457026322,0.7179353833621167
13,28.78567554236158,0.5464559460819425,24.32808306739341,0.7284967535806329
12,28.502470651301948,0.5553363382318637,24.06378027727186,0.7167340616080955
11,28.084384439450265,0.568285690005692,24.610124451605348,0.7214814280768378
10,27.835075132193225,0.5759164550793575,24.006203667077482,0.7211205871722931
9,27.8149316216103,0.5765300291640074,24.297558517017574,0.720487516607016
8,27.568269584285602,0.5840073668573287,25.09563885774624,0.7257995366238109
7,28.26343631773464,0.5627633564964057,25.10760744426801,0.7040545171329164
6,27.703419046951936,0.5799186815822248,25.4645006174042,0.6898800879724869
5,27.88904451472746,0.5742703510003672,25.36955365322502,0.693866921819656
